role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Cynthia Parr,http://data.semanticweb.org/person/cynthia-parr,,2,,,,13940fa3b6f615d9cd99d62a5bc58bcde691d596;e6883fd49b437f93a520710e00691b711b1230af,2,UMBC;Encyclopedia of Life,2
,,,,,Dan Weld,http://data.semanticweb.org/person/dan-weld,,0,,,,5d0caf4b88e14ef4c91f2502b2882c82bbfd07fa,1,Univ Washington,1
,,,,,Daniel Gruhl,http://data.semanticweb.org/person/daniel-gruhl,,0,,,,ea1d8684df123f4bc2bfc5c3efdb8eba85dec4e6,1,IBM Almaden Research Center,1
,,,,,Daniel Miranker,http://data.semanticweb.org/person/daniel-miranker,,1,,,,0fea94336fe97522ad08d3100f2555d8b1acab05,1,"Department of Computer Sciences, The University of Texas at Austin;Institute for Cell and Molecular Biology, The University of Texas at Austin",2
,,,,,Daniel Oberle,http://data.semanticweb.org/person/daniel-oberle,,1,,,,c37ad0dac2a588dc3f1cecd883eb262bf06ec164,1,SAP AG;SAP,1
,,,,,Daniel Olmedilla,http://data.semanticweb.org/person/daniel-olmedilla,,2,,,,c3a45a041dadb23f4b7dd53cde114f0a5132a8b2;dd17a23d8b5ccf526ab93ef03147a724ed15cde0,2,"Research Center L3S;L3S Research Center;L3S Research Center & Hannover University;L3S Research Center, Hannover, Germany;Telefónica Research and Development;Telefonica R&D",2
,,,,,Daniel Rubin,http://data.semanticweb.org/person/daniel-rubin,,1,,,,973f2afe8dd819d30fa24bab795a8cfa54c71f16,1,Stanford University;Stanford University - BMIR,1
,,,,,Daniel Schwabe,http://data.semanticweb.org/person/daniel-schwabe,,1,,,,64426ee795421651f6fc88bf0fca221c52c4005a,1,"Dept. of Informatics, PUC-Rio",1
,,,,,Dario Bonino,http://data.semanticweb.org/person/dario-bonino,,1,,,,d1f167d295fb554afa6a5885c29737ebc1f52393,1,Politecnico di Torino,1
,,,,,Dave Reynolds,http://data.semanticweb.org/person/dave-reynolds,,0,,,,ac4c2f1da13f040a39311d7293d7c5439fcc72f8,1,Hewlett Packard Laboratories,1
,,,,,David De Roure,http://data.semanticweb.org/person/david-de-roure,,0,,,,92d8538c2d7cf626d450cccf5112436e93ecf2db,1,University of Southampton,1
,,,,,David Huynh,http://data.semanticweb.org/person/david-huynh,,0,,,,f7a83fbc5b671fba7843b223c105f04f35ef6326,1,MIT CSAIL;MIT,1
,,,,,David J. Zielinski,http://data.semanticweb.org/person/david-j-zielinski,,1,,,,3eca5404bde5825a20b631a5cef782f9456a0870,1,Duke University,1
,,,,,David Karger,http://data.semanticweb.org/person/david-karger,,0,,,,1192ccf2698e2122ed342719927b0f6e70c46269,1,MIT CSAIL;MIT,1
,,,,,David Leal,http://data.semanticweb.org/person/david-leal,,1,,,,04a7861eea48b03b9679a0d0057fd33a052609e1,1,CAESAR Systems Limited,1
,,,,,David Martin,http://data.semanticweb.org/person/david-martin,,1,,,,d49e8df5d14e4197e4e32334fd79481c37233bf5,1,SRI International;SRI,1
,,,,,David Norheim,http://data.semanticweb.org/person/david-norheim,,1,,,,7306e91d7c4b2145ef5e2544ba9036b7bdadb217,1,Computas,1
,,,,,David de Francisco,http://data.semanticweb.org/person/david-de-francisco,,1,,,,0a8c9e840919f504148b1af9a08b31caafb3246a,1,Telefónica Research and Development;Telefonica R&D,1
,,,,,David-Paul Mann,http://data.semanticweb.org/person/david-paul-mann,,1,,,,f83f72bd4ce4faaad17c9b54e2e6bc90b69965fc,1,"ISWeb, University of Koblenz-Landau, Germany;University of Koblenz-Landau;Universität Koblenz- Landau",1
,,,,,Dean Allemang,http://data.semanticweb.org/person/dean-allemang,,0,,,,2baa035ccc17b088b88518d944b59a0cc5b25dcb,1,TopQuadrant Inc,1
,,,,,Deborah McGuinness,http://data.semanticweb.org/person/deborah-mcguinness,,5,,,,71ff9c05d8111e6a4bfcbd452a5c5579b24c39dc,1,Rensselaer Polytechnic Institute;RPI;McGuinness Associates;Stanford University;Stanford University - BMIR,3
,,,,,Deepali Khushraj,http://data.semanticweb.org/person/deepali-khushraj,,0,,,,e63da76e4a6c0c55534ccbabe5f2cfffca41ce30,1,"Nokia Research Center, Cambridge",1
,,,,,Dengping Wei,http://data.semanticweb.org/person/dengping-wei,,1,,,,bf0c3dc7abd6f1ec835d20b8ceb92ad9a0ad49f5,1,"Department of Computer Science and Technology, School of Computer, National University of Defense Technology, China",1
,,,,,Derek Sleeman,http://data.semanticweb.org/person/derek-sleeman,,0,,,,cd55bc58cdf458781ce81a08aa80e4a49af3f8b1,1,University of Aberdeen,1
,,,,,Diana Maynard,http://data.semanticweb.org/person/diana-maynard,,0,,,,6a9054d3a369f74a6338c546dceceeeb7be8ed6a,1,University Of Sheffield;The University of Sheffield;University of Sheffield,1
,,,,,Dimitrios Giakoumis,http://data.semanticweb.org/person/dimitrios-giakoumis,,1,,,,60c30e9b5f04db5906b59f20fb7fbc4a1e4d7edf,1,Centre for Research and Technology Hellas (CERTH);Centre for Research and Technology Hellas;CERTH,1
,,,,,Dimitrios Skoutas,http://data.semanticweb.org/person/dimitrios-skoutas,,1,,,,c2c3905ee18fb6ed699f0e1d390dafba156e2fff,1,National Technical University of Athens;National Technical Univ. of Athens,1
