role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Proceedings Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Krishnaprasad Thirunarayan,http://data.semanticweb.org/person/krishnaprasad-thirunarayan,http://www.cs.wright.edu/~tkprasad,,,,0,"Wright State University;Kno.e.sis Research Center, Wright State University",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Program Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://www.ifi.uzh.ch/ddis/people/bernstein/,,,,0,Universität Zürich,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Program Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://www.ifi.uzh.ch/ddis/people/bernstein/,,,,0,Universität Zürich,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Program Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,David Karger,http://data.semanticweb.org/person/david-karger,http://people.csail.mit.edu/karger/,,,,0,MIT,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Program Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,David Karger,http://data.semanticweb.org/person/david-karger,http://people.csail.mit.edu/karger/,,,,0,MIT,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Publicity Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Todd Schneider,http://data.semanticweb.org/person/todd-schneider,,,,9459fc24d625ef8be919943b80b7285b43a03724;487e1c1b906a7e301cc510f5a2213b32c4af6c4c,2,Raytheon,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Publicity Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Todd Schneider,http://data.semanticweb.org/person/todd-schneider,,,,9459fc24d625ef8be919943b80b7285b43a03724;487e1c1b906a7e301cc510f5a2213b32c4af6c4c,2,Raytheon,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web Challenge Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Chris Bizer,http://data.semanticweb.org/person/christian-bizer,http://www.wiwiss.fu-berlin.de/en/institute/pwo/bizer/index.html,,,,0,Freie Universität Berlin,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web Challenge Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Chris Bizer,http://data.semanticweb.org/person/christian-bizer,http://www.wiwiss.fu-berlin.de/en/institute/pwo/bizer/index.html,,,,0,Freie Universität Berlin,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web Challenge Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Christian Bizer,http://data.semanticweb.org/person/christian-bizer,http://www.wiwiss.fu-berlin.de/en/institute/pwo/bizer/index.html,,,,0,Freie Universität Berlin,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web Challenge Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Christian Bizer,http://data.semanticweb.org/person/christian-bizer,http://www.wiwiss.fu-berlin.de/en/institute/pwo/bizer/index.html,,,,0,Freie Universität Berlin,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web Challenge Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Peter Mika,http://data.semanticweb.org/person/peter-mika,http://research.yahoo.com/Peter_Mika,,,c0d6551197a0295bfc604841a994d544e0091665,1,Yahoo! Research;Yahoo Research,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web Challenge Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Peter Mika,http://data.semanticweb.org/person/peter-mika,http://research.yahoo.com/Peter_Mika,,,c0d6551197a0295bfc604841a994d544e0091665,1,Yahoo! Research;Yahoo Research,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web in Use Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Lee Feigenbaum,http://data.semanticweb.org/person/lee-feigenbaum,http://www.cambridgesemantics.com/people/about/lee,,,,0,Cambridge Semantics,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web in Use Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Lee Feigenbaum,http://data.semanticweb.org/person/lee-feigenbaum,http://www.cambridgesemantics.com/people/about/lee,,,,0,Cambridge Semantics,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web in Use Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Tom Heath,http://data.semanticweb.org/person/tom-heath,http://tomheath.com/,,,,0,Talis,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Semantic Web in Use Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Tom Heath,http://data.semanticweb.org/person/tom-heath,http://tomheath.com/,,,,0,Talis,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Sponsorship Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Fabio Ciravegna,http://data.semanticweb.org/person/fabio-ciravegna,http://www.dcs.shef.ac.uk/~fabio/,,,,0,University of Sheffield,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Sponsorship Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Fabio Ciravegna,http://data.semanticweb.org/person/fabio-ciravegna,http://www.dcs.shef.ac.uk/~fabio/,,,,0,University of Sheffield,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Sponsorship Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Pete Pflugrath,http://data.semanticweb.org/person/pete-pflugrath,,,,2b8ec7ea77d64e406093b28271da4a11900a8f81,1,BBN Technologies,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Sponsorship Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Pete Pflugrath,http://data.semanticweb.org/person/pete-pflugrath,,,,2b8ec7ea77d64e406093b28271da4a11900a8f81,1,BBN Technologies,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Tutorial Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jennifer Golbeck,http://data.semanticweb.org/person/jennifer-golbeck,http://www.cs.umd.edu/~golbeck/,,,007da7d143698299a48e0e578011ec5404ffd5f1,1,"University of Maryland;University of Maryland, USA;University of Maryland, Baltimore County;University of Maryland, College Park;University of Maryland, Baltimore County, USA",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Tutorial Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Jennifer Golbeck,http://data.semanticweb.org/person/jennifer-golbeck,http://www.cs.umd.edu/~golbeck/,,,007da7d143698299a48e0e578011ec5404ffd5f1,1,"University of Maryland;University of Maryland, USA;University of Maryland, Baltimore County;University of Maryland, College Park;University of Maryland, Baltimore County, USA",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Tutorial Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Marta Sabou,http://data.semanticweb.org/person/marta-sabou,http://kmi.open.ac.uk/people/marta/,,,,0,"Open University;Knowledge Media Institute (KMI), The Open University",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Tutorial Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Marta Sabou,http://data.semanticweb.org/person/marta-sabou,http://kmi.open.ac.uk/people/marta/,,,,0,"Open University;Knowledge Media Institute (KMI), The Open University",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Workshop Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jeff Heflin,http://data.semanticweb.org/person/jeff-heflin,http://www.cse.lehigh.edu/~heflin/,,,,0,Lehigh University,1
