name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
"Sandpiper software",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/sandpiper-logo.jpg,http://www.sandsoft.com/,"Emerging applications in collaboration, application integration, web services, and content management can require large, complex ontologies that must be built and maintained by distributed teams. Because such ontologies can be difficult even for experts to build, the need for a new generation of commercial-grade tools supporting knowledge sharing and collaborative ontology development is becoming increasingly urgent. Sandpiper Software(TM) is developing key components of a model-driven interoperability framework designed to support collaboration in a highly distributed, heterogeneous environment. The Company's Visual Ontology Modeler(TM), an add-in to Rational Software's Rose Enterprise Edition, is the first of a suite of tools envisioned to support such interoperability and the vision of the Semantic Web in a cooperative, distributed, multi-user environment. Recent development to support DAML+OIL, and by extension, the Web Ontology Language, will be highlighted at the conference.",[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
NOKIA,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/nokia.jpg,http://www.nokia.com/,"Nokia is the world leader in mobile communications. Backed by its experience, innovation, user-friendliness and secure solutions, the company has become the leading supplier of mobile phones and a leading supplier of mobile, fixed and IP networks. By adding mobility to the Internet Nokia creates new opportunities for companies and further enriches the daily lives of people. Nokia comprises two business groups: Nokia Networks and Nokia Mobile Phones. In addition, the company includes a separate Nokia Ventures Organization and the corporate research unit, Nokia Research Center.",[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
,,,,,,,,,,
"LEKS/CNR Roma",,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"University of Caggliari",,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"University of Manchester",,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"INRIA Rhône-Alpes",,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"Frije University Amsterdam",,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"KSL/Stanford university",,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
ConfMan,,,,,,[ME],swc:Sponsor,"Supporting Organization",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
