event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,acronym,abstract,homepage,link_document,logo,source,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/tutorial-1,[ME]/track/tutorial,,TutorialEvent,Large Scale Reasoning Over Semantic Data,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala Belvedere,,,,Organizer,"Jeff Z. Pan,Guilin Qi,Raghava Mutharaju,Ilias Tachmazidis ",,"The tutorial aims to provide an overview of the approaches used for large scale reasoning over semantic data, the systems developed as well as the lessons learned while developing them. We will discuss some applications which require scalable reasoning solutions. Questions such as what makes distributed/parallel reasoning hard would also be covered during the tutorial. Directions for future research work would be discussed.",http://homepages.abdn.ac.uk/jeff.z.pan/pages/research-ttl-iswc2014.shtml,,,http://homepages.abdn.ac.uk/jeff.z.pan/pages/research-ttl-iswc2014.shtml,EOL
[ME]/tutorial-2,[ME]/track/tutorial,,TutorialEvent,Stream Reasoning for Linked Data,2014-10-19T09:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 100A,,,,Organizer,"Marco Balduini,Jean-Paul Calbimonte,Oscar Corcho,Daniele Dell'Aglio ,Emanuele Della Valle",,"The goal of the Stream Reasoning for Linked Data tutorial is twofold: to (1) introduce scalable reasoning and querying techniques to SW researchers as powerful tool to make use of linked data and large-scale ontologies, and to (2) present interesting research problems for SW that arise in reasoning with highly dynamic data streams [DCvF09,RPZ10a]. The tutorial consists of five parts. It will begin with an introduction of linked data streams, as well as reasoning using the Semantic Web standard ontology language OWL 2. The second part will introduce semantic processing of data streams explained using C-SPARQL, a continuous extension of SPARQL for querying RDF streams and RDF graphs. The third part will provide an overview of ontology-based access to data streams through query rewriting to Stream Processing Engines and using stream-to-ontology mappings. The fourth part of the tutorial is a hands-on session on tools and systems related to the previous parts. The fith part of the tutorial will present other stream reasoning techniques for RDFS and OWL2-RL. The last part will wrap up the tutorial and present an overview of the open challenges.",http://streamreasoning.org/events/sr4ld2014,,,http://streamreasoning.org/events/sr4ld2014,EOL
[ME]/tutorial-3,[ME]/track/tutorial,,TutorialEvent,Ontology matching: from mature technology to open horizons,2014-10-19T09:00:00,2014-10-19T12:40:00,Europe/Rome,Sala 100B,,,,Organizer,"Jérôme Euzenat,Pavel Shvaiko",,"Ontology matching is the task of finding relationships between different ontologies. In semantic web practice it is very important for mediating queries across data sources expressed in different ontologies or for interlinking open data, for instance. Ontology matching has benefited from years of very active research. The goal of this tutorial is to present ontology matching in an inclusive framework and to show by example how this is instantiated in tools for matching and manipulating alignments between ontologies. It also aims at presenting extensions of this framework towards more intricate questions (scalability, reasoning, involving other resources and people): these will also be discussed in a general way and illustrated on practical examples. This tutorial is targeted at people needing to involve ontology matching in their works, at practitioners who want to concretely learn how to starts with ontology matching, and at students who are starting research involving ontology matching.",http://tutorial.ontologymatching.org/,,,http://tutorial.ontologymatching.org/,EOL
[ME]/tutorial-4,[ME]/track/tutorial,,TutorialEvent,Instance Matching Benchmarks for Linked Data,2014-10-19T14:00:00,2014-10-19T17:30:00,Europe/Rome,Sala 100B,,,,Organizer,"Evangelia Daskalaki,Irini Fundulaki,Melanie Herschel,Janina Saveta",,"With the continuously increasing number of datasets published in the Web of Data and form part of the Linked Open Data Cloud, it becomes more and more essential to identify resources that correspond to the same real world object in order to interlink web resources and set the basis for large-scale data integration. This requirement becomes apparent in a multitude of domains ranging from science (marine research, biology, astronomy, pharmacology) to semantic publishing and cultural domains. In this context, instance matching (also referred to as record linkage [16], duplicate detection [3] entity resolution [2], and object identification in the context of databases [18]) is of crucial importance. It is though essential at this point to develop, along with instance and entity matching systems, benchmarks to determine the weak and strong points of those systems, as well as their overall quality in order to support users in deciding the system to use for their needs. Hence, well defined, and good quality benchmarks are important for comparing the performance of the developed instance matching systems.",http://www.ics.forth.gr/isl/BenchmarksTutorial/,,,http://www.ics.forth.gr/isl/BenchmarksTutorial/,EOL
,,,,,,,,,,,,,,,,,,,,
,,,BreakEvent,Coffee break,2014-10-19T10:30:00,2014-10-19T11:00:00,Europe/Rome,Palameeting,,,,,,,,,,,,EOL
,,,BreakEvent,Lunch,2014-10-19T12:40:00,2014-10-19T14:00:00,Europe/Rome,Palameeting,,,,,,,,,,,,EOL
,,,BreakEvent,Coffee break,2014-10-19T15:30:00,2014-10-19T16:00:00,Europe/Rome,Palameeting,,,,,,,,,,,,EOL
,,,,,,,,,,,,,,,,,,,,
