altLabel,title,subtitle,uri,source,status,redirects,disambiguates,matched_entity_type,row_type,modified
"Faculty of Computer Science, Free University of Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,ok,,,TRUE,,2013/09/04
"Free University of Bozen-Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,ok,,,,,2013/08/01
"Free Univ. of Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,ok,,,,,2013/08/01
"FU Bozen-Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,ok,,,,,2013/09/09
"University Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,ok,,,,,2013/08/01
"Free University Of Brussels","Free University of Brussels",,http://dbpedia.org/resource/Free_University_of_Brussels,,ok,,,,,2013/08/01
"University Brussels","Free University of Brussels",,http://dbpedia.org/resource/Free_University_of_Brussels,,ok,,,,,2013/08/01
"French National Center for Scientific Research","French National Centre for Scientific Research",,http://dbpedia.org/resource/French_National_Centre_for_Scientific_Research,,ok,,,,,2013/08/01
"Freudenberg IT","Freudenberg IT",,http://dbpedia.org/resource/Freudenberg_IT,,ok,,,TRUE,,2013/09/26
"FTW Telecommunications Research Center Vienna","FTW Telecommunications Research Center Vienna",,,,ok,,,,,2013/08/01
"Fujitsu Ireland",Fujitsu,,http://dbpedia.org/resource/Fujitsu,,man,,,TRUE,,2013/09/04
"Fujitsu, Ireland",Fujitsu,,http://dbpedia.org/resource/Fujitsu,,man,,,TRUE,,2013/09/04
"Fujitsu Labs",Fujitsu,,http://dbpedia.org/resource/Fujitsu,,ok,,,TRUE,,2013/08/01
Fujitsu,Fujitsu,,http://dbpedia.org/resource/Fujitsu,,ok,,,,,2013/08/01
"Fujitsu Ltd.",Fujitsu,,http://dbpedia.org/resource/Fujitsu,,ok,,,,,2013/08/01
FZI,"FZI Forschungszentrum_Informatik",,http://dbpedia.org/resource/Forschungszentrum_Informatik,,man-short,,,,,2013/08/01
"FZI at the University of Karlsruhe","FZI Forschungszentrum_Informatik",,http://dbpedia.org/resource/Forschungszentrum_Informatik,,man-short,,,,,2013/08/01
"FZI Forschungszentrum Informatik","FZI Forschungszentrum_Informatik",,http://dbpedia.org/resource/Forschungszentrum_Informatik,,man-short,,,,,2013/08/01
"FZI, University Karlsruhe","FZI Forschungszentrum_Informatik",,http://dbpedia.org/resource/Forschungszentrum_Informatik,,man-short,,,,,2013/08/01
"FZI Research Center for Information Technology","FZI Forschungszentrum_Informatik",,,,man-short,,,TRUE,,2013/09/03
Gakken,Gakken,,http://dbpedia.org/resource/Gakken,,ok,,,,,2013/08/01
"Galaxy Express","Galaxy Express",,http://dbpedia.org/resource/Galaxy_Express_Corporation,,ok-disambiguates,,,,,2013/08/01
Garlik,Garlik,,,,man,,,,,2013/09/03
GE,"General Electric",,http://dbpedia.org/resource/General_Electric,,ok,,,,,2013/08/01
"General Motors","General Motors",,http://dbpedia.org/resource/General_Motors,,ok,,,,,2013/08/01
"George Mason University","George Mason University",,http://dbpedia.org/resource/George_Mason_University,,ok,,,,,2013/08/01
"Georgia Tech","Georgia Institute of Technology",,http://dbpedia.org/resource/Georgia_Institute_of_Technology,,ok,,,,,2013/08/01
DFKI,"German Research Centre for Artificial Intelligence (DFKI)",,http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence,,man,,,,,2013/08/01
"DFKI GmbH","German Research Centre for Artificial Intelligence (DFKI)",,http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence,,man,,,,,2013/08/01
"DFKI GmbH","German Research Centre for Artificial Intelligence (DFKI)",,http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence,,man,,,,,2013/08/01
"DFKI GmbH","German Research Centre for Artificial Intelligence (DFKI)",,http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence,,man,,,,,2013/08/01
"DFKI, Kaiserslautern","German Research Centre for Artificial Intelligence (DFKI)",,http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence,,man,,,,,2013/08/01
"DFKI, LT-Lab","German Research Centre for Artificial Intelligence (DFKI)",,http://dbpedia.org/resource/German_Research_Centre_for_Artificial_Intelligence,,man,,,,,2013/09/09
"GESIS - Leibniz Institute for the Social Sciences","GESIS – Leibniz Institute for the Social Sciences",,,http://www.gesis.org/en/institute/,man,,,,,2013/09/03
"Ghent University-IBBT","Ghent University",,http://dbpedia.org/resource/Ghent_University,,man,,,TRUE,,2013/09/04
"Ghent University - iMinds","Ghent University",,http://dbpedia.org/resource/Ghent_University,,man,,,TRUE,,2013/09/04
"Dept. of Information Technology (INTEC), Ghent University - iMinds","Ghent University",,http://dbpedia.org/resource/Ghent_University,,man,,,,,2013/09/04
"Dept. of Information Technology (INTEC), INTEC Broadband Communication Networks (IBCN), Ghent University - iMinds","Ghent University",,http://dbpedia.org/resource/Ghent_University,,man,,,,,2013/09/04
"Ghent University - iMinds - ELIS - Multimedia Lab","Ghent University",,http://dbpedia.org/resource/Ghent_University,,man,,,,,2013/09/04
"Ghent University - iMinds - Multimedia Lab","Ghent University",,http://dbpedia.org/resource/Ghent_University,,man,,,,,2013/09/04
"Ghent University","Ghent University",,http://dbpedia.org/resource/Ghent_University,,ok,,,,,2013/08/01
"iMinds, Multimedia Lab, Ghent University","Ghent University",,http://dbpedia.org/resource/Ghent_University,,ok,,,,,2013/08/01
Gnowsis.com,Gnowsis,,,,ok,,,,,2013/08/01
"University of Frankfurt","Goethe University Frankfurt",,http://dbpedia.org/resource/Goethe_University_Frankfurt,,ok,,,TRUE,,2013/08/01
"Google Inc","Google Inc.",,http://dbpedia.org/resource/Google,,ok,,,TRUE,,2013/09/04
Google,"Google Inc.",,http://dbpedia.org/resource/Google,,ok,,,,,2013/08/01
"Google Research","Google Inc.",,http://dbpedia.org/resource/Google,,ok,,,,,2013/08/01
"Griffith University","Griffith University",,http://dbpedia.org/resource/Griffith_University,,ok,,,,,2013/08/01
GSK,GSK,,,,man,,,TRUE,,2013/09/09
"Harokopio University of Athens","Harokopio University",,http://dbpedia.org/resource/Harokopio_University,,man,,,TRUE,,2013/09/03
"Hasso Plattner Institute","Hasso Plattner Institute",,http://dbpedia.org/resource/Hasso_Plattner_Institute,,man,,,TRUE,,2013/09/03
"Hasso-Plattner-Institut, Universität Potsdam","Hasso Plattner Institute",,http://dbpedia.org/resource/Hasso_Plattner_Institute,,ok,,,,,2013/08/01
"Hawthorn technology","Hawthorn technology",,,,man,,,,,2013/08/01
"Heidelberg Istitute of Theoretical Studies","Heidelberg Institute for Theoretical Studies",,http://dbpedia.org/resource/Heidelberg_Institute_for_Theoretical_Studies,,man,,,,,2013/09/09
"Hewlett Packard",Hewlett-Packard,,http://dbpedia.org/resource/Hewlett-Packard,,ok,,,,,2013/08/01
Hewlett-Packard,Hewlett-Packard,,http://dbpedia.org/resource/Hewlett-Packard,,ok,,,,,2013/08/01
"Hewlett Packard Laboratories","Hewlett Packard Laboratories",,http://dbpedia.org/resource/HP_Labs,,ok,,,,,2013/08/01
"Hewlett-Packard Labs","Hewlett Packard Laboratories",,http://dbpedia.org/resource/HP_Labs,,ok,,,,,2013/08/01
"HP Labs","Hewlett Packard Laboratories",,http://dbpedia.org/resource/HP_Labs,,ok,,,,,2013/08/01
"Hiroshima University","Hiroshima University",,http://dbpedia.org/resource/Hiroshima_University,,ok,,,,,2013/08/01
Hitachi,Hitachi,,http://dbpedia.org/resource/Hitachi,,ok,,,,,2013/08/01
"Hitachi Ltd.",Hitachi,,http://dbpedia.org/resource/Hitachi,,ok,,,,,2013/08/01
"Systems Development Laboratory, Hitachi Ltd.",Hitachi,,http://dbpedia.org/resource/Hitachi,,ok,,,,,2013/08/01
"Hokkaido University","Hokkaido University",,http://dbpedia.org/resource/Hokkaido_University,,ok,,,,,2013/09/05
"Hong Kong University of Science and Technology","Hong Kong University of Science and Technology",,http://dbpedia.org/resource/Hong_Kong_University_of_Science_and_Technology,,ok,,,TRUE,,2013/09/03
"Hewlett Packard Labs, Bristol","HP Labs Bristol",,http://dbpedia.org/resource/HP_Labs,,ok,,,,,2013/08/01
"HP Laboratories, Bristol","HP Labs Bristol",,http://dbpedia.org/resource/HP_Labs,,ok,,,,,2013/08/01
"HP Labs, Bristol","HP Labs Bristol",,http://dbpedia.org/resource/HP_Labs,,ok,,,,,2013/08/01
"Humboldt University of Berlin","Humboldt University of Berlin",,http://dbpedia.org/resource/Humboldt_University_of_Berlin,,ok,,,TRUE,,2013/09/03
"Humboldt University, Berlin","Humboldt University of Berlin",,http://dbpedia.org/resource/Humboldt_University_of_Berlin,,ok,,,,,2013/08/01
Hypios,Hypios,,,,man,,,,,2013/09/03
IAA-CSIC,IAA-CSIC,,,,man,,,TRUE,,2013/09/09
IBM,IBM,,http://dbpedia.org/resource/IBM,,ok,,,,,2013/08/01
"IBM Research - China","IBM China Research Laboratory",,,,man,,,,,2013/09/04
"IBM China Research Laboratory","IBM China Research Laboratory",,,,ok,,,,,2013/08/01
"IBM Research Lab , Haifa, Israel","IBM Haifa Research Laboratory",,http://dbpedia.org/resource/IBM_Haifa_Research_Laboratory,,man,,,TRUE,,2013/09/03
"IBM Research","IBM Research",,http://dbpedia.org/resource/IBM_Research,,ok,,,,,2013/08/01
"IBM T.J. Watson Research Center","IBM Thomas J. Watson Research Center",,http://dbpedia.org/resource/Thomas_J._Watson_Research_Center,,ok,,,,,2013/08/01
"IBM Watson Research Center","IBM Thomas J. Watson Research Center",,http://dbpedia.org/resource/Thomas_J._Watson_Research_Center,,ok,,,,,2013/08/01
"IBM Tokyo Research Laboratory","IBM Tokyo Research Laboratory",,http://dbpedia.org/resource/IBM_Research_%E2%80%93_Tokyo,,man,,,,,2013/08/01
"IBM Research Laboratory, Rueschlikon","IBM Zurich Research Laboratory",,http://dbpedia.org/resource/IBM_Zurich,,man,,,,,2013/08/01
"iBrow: An Intelligent Brokering Service for Knowledge-Component Reuse on the World-Wide Web",iBrow,"An Intelligent Brokering Service for Knowledge-Component Reuse on the World-Wide Web",,,ok,,,,,2013/09/03
"IDA IRELAND","IDA Ireland",,http://dbpedia.org/resource/IDA_Ireland,,ok,,,,,2013/08/01
"IDT, UAB","IDT, UAB",,,http://idt.uab.es/,ok,,,,,2013/08/01
"IICM - Institute for Information Systems and Computer Media","IICM - Institute for Information Systems and Computer Media",,,,ok,,,,,2013/09/04
"IIIT Delhi","IIIT Delhi",,,,man,,,TRUE,,2013/09/04
"IIT Bombay","IIT Bombay",,http://dbpedia.org/resource/Indian_Institute_of_Technology_Bombay,,ok,,,TRUE,,2013/09/04
IT-BHU,"IIT Varanasi",,http://dbpedia.org/resource/Indian_Institute_of_Technology_(BHU)_Varanasi,,ok,,,TRUE,,2013/09/03
IJS,IJS,,,,ok,,,,,2013/08/01
ILOG,ILOG,,http://dbpedia.org/resource/ILOG,,ok,,,,,2013/08/01
"Image & Pervasive Access Lab (IPAL), UMI CNRS","Image & Pervasive Access Lab (IPAL), UMI CNRS",,,http://ipal.i2r.a-star.edu.sg/,man,,,,,2013/09/03
"Imperial College London","Imperial College London",,http://dbpedia.org/resource/Imperial_College_London,,ok,,,,,2013/08/01
"Indiana University","Indiana University",,http://dbpedia.org/resource/Indiana_University,,ok,,,,,2013/08/01
"Informatica Trentina","Informatica Trentina",,,,ok,,,,,2013/08/01
"Information Extraction & Transport, Inc.","Information Extraction & Transport, Inc.",,,,ok,,,,,2013/08/01
"Information Technology Media Laboratories, Fujitsu Laboratories","Information Technology Media Laboratories, Fujitsu Laboratories",,,,ok,,,,,2013/08/01
Ingenta,Ingenta,,http://dbpedia.org/resource/Ingenta,,ok,,,,,2013/09/03
"Inoveon, Inc.","Inoveon, Inc.",,,,man,,,,,2013/09/05
INRIA,INRIA,,http://dbpedia.org/resource/National_Institute_for_Research_in_Computer_Science_and_Control,,man,,,,,2013/08/01
"INRIA Rhône-Alpes","INRIA Rhône-Alpes",,http://dbpedia.org/resource/National_Institute_for_Research_in_Computer_Science_and_Control,,man,,,,,2013/08/01
"INRIA Alpes","INRIA Rhône-Alpes",,http://dbpedia.org/resource/National_Institute_for_Research_in_Computer_Science_and_Control,,ok,,,,,2013/08/01
"INRIA Rhone-Alpes","INRIA Rhône-Alpes",,http://dbpedia.org/resource/National_Institute_for_Research_in_Computer_Science_and_Control,,ok,,,,,2013/08/01
"INRIA Rhône-Alpes","INRIA Rhône-Alpes",,http://dbpedia.org/resource/National_Institute_for_Research_in_Computer_Science_and_Control,,ok,,,,,2013/08/01
"INRIA, Rhône-Alpes","INRIA Rhône-Alpes",,http://dbpedia.org/resource/National_Institute_for_Research_in_Computer_Science_and_Control,,ok,,,,,2013/08/01
"INRIA Sophia Antipolis","INRIA Sophia Antipolis",,http://dbpedia.org/resource/Sophia_Antipolis,,man,,,,,2013/09/04
"WIMMICS, INRIA Sophia Antipolis - Méditerranée","INRIA Sophia Antipolis",,,,man,,,,,2013/09/04
INSEE,INSEE,,http://dbpedia.org/resource/INSEE,,ok,,,,,2013/08/01
"Institute for Infocomm Research","Institute for Infocomm Research",,,,ok,,,,,2013/08/01
"Institute for Theoretical Computer Science","Institute for Theoretical Computer Science",,http://dbpedia.org/resource/Institute_for_Theoretical_Computer_Science,,ok,,,,,2013/08/01
"Instituto Superior Técnico","Instituto Superior Técnico",,http://dbpedia.org/resource/Instituto_Superior_T%C3%A9cnico,,ok,,,TRUE,,2013/08/01
INTAP,INTAP,"Interoperability Technology Association for Information Processing",,,ok,,,,,2013/08/01
"INTAP: Interoperability Technology Association for Information Processing",INTAP,"Interoperability Technology Association for Information Processing",,,ok,,,,,2013/08/01
"International University","International University in Germany",,,http://de.wikipedia.org/wiki/International_University_in_Germany,man,,,,,2013/08/01
Intersticia,Intersticia,,,,ok,,,,,2013/08/01
"IOS Press","IOS Press",,http://dbpedia.org/resource/IOS_Press,,ok,,,,,2013/09/04
"Iowa State University","Iowa State University",,http://dbpedia.org/resource/Iowa_State_University,,ok,,,TRUE,,2013/09/03
IPGems,IPGems,,,,ok,,,,,2013/08/01
"IRIN, University Nantes","IRIN, University of Nantes",,,,man,,,,,2013/08/01
IRIT,IRIT,,,,man,,,,,2013/09/04
"Information Sciences Institute",ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,man,,,,,2013/09/04
"Information Sciences Institute,University of Southern California",ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,ok,,,,,2013/08/01
"ISI, University of Southern California",ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,ok,,,,,2013/08/01
"USC Information Sciences Institute",ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,ok,,,,,2013/08/01
"USC ISI",ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,ok,,,,,2013/08/01
USC/ISI,ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,ok,,,,,2013/08/01
ISI,ISI/USC,,http://dbpedia.org/resource/Information_Sciences_Institute,,ok-disambiguates,,http://dbpedia.org/resource/Institute_for_Scientific_Interchange,,,2013/08/01
"USC/Information Sciences Institute",ISI/USC,,,,man,,,TRUE,,2013/09/26
"Information Sciences Institute, University of Southern California",ISI/USC,,,,ok,,,TRUE,,2013/09/03
"Intelligent Software Components (iSOCO) S.A.","iSOCO, S.A.","Intelligent Software Components S.A.",,,ok,,,,,2013/08/01
ISOCO,"iSOCO, S.A.",,,http://www.isoco.com/home,ok,,,,,2013/08/01
iSOCO,"iSOCO, S.A.",,,http://www.isoco.com/home,ok,,,,,2013/08/01
iSoco,"iSOCO, S.A.",,,http://www.isoco.com/home,ok,,,,,2013/08/01
"iSOCO S.A.","iSOCO, S.A.",,,http://www.isoco.com/home,ok,,,,,2013/08/01
"iSOCO, Intelligent Software Components","iSOCO, S.A.",,,,ok,,,,,2013/08/01
ISTC-CNR,ISTC-CNR,,,http://www.istc.cnr.it,ok,,,,,2013/08/01
"CNR Institute of Cognitive Sciences and Technology",ISTC-CNR,,,,man,,,,,2013/09/26
CNR-ISTC,ISTC-CNR,,,,ok,,,,,2013/08/01
"STLab (ISTC-CNR)",ISTC-CNR,,,,ok,,,,,2013/08/01
"STLab, ISTC-CNR",ISTC-CNR,,,,ok,,,,,2013/08/01
ISTI-CNR,ISTI-CNR,,,,ok,,,,,2013/08/01
ISX,"ISX Corporation",,,,man,,,,,2013/08/01
"Italian National Research Council","Italian National Research Council",,http://dbpedia.org/resource/Consiglio_Nazionale_delle_Ricerche,,ok,,,,,2013/09/04
ITC-IRST,ITC-IRST,,,,ok,,,,,2013/08/01
"Jacobs University","Jacobs University Bremen",,http://dbpedia.org/resource/Jacobs_University_Bremen,,ok,,,TRUE,,2013/09/03
"Japan Advanced Institute of Science","Japan Advanced Institute of Science and Technology",,http://dbpedia.org/resource/Japan_Advanced_Institute_of_Science_and_Technology,,ok,,,,,2013/08/01
"Japan Advanced Institute of Science and Technology","Japan Advanced Institute of Science and Technology",,http://dbpedia.org/resource/Japan_Advanced_Institute_of_Science_and_Technology,,ok,,,,,2013/08/01
"J.D. Edwards","JD Edwards",,http://dbpedia.org/resource/JD_Edwards,,man,,,,,2013/09/05
"Joanneum Research, IIS","Joanneum Research, IIS",,,,ok,,,,,2013/08/01
"Jönköping University","Jönköping University",,http://dbpedia.org/resource/J%C3%B6nk%C3%B6ping_University_Foundation,,ok,,,TRUE,,2013/08/01
"Journal of Web Semantics","Journal of Web Semantics",,http://dbpedia.org/resource/Journal_of_Web_Semantics,,ok,,,,,2013/08/01
"Jozef Stefan Institute","Jožef Stefan Institute",,http://dbpedia.org/resource/Jo%C5%BEef_Stefan_Institute,,ok,,,,,2013/08/01
"Jožef Stefan Institute","Jožef Stefan Institute",,http://dbpedia.org/resource/Jo%C5%BEef_Stefan_Institute,,ok,,,,,2013/08/01
"J. Stefan Institute","Jožef Stefan Institute",,http://dbpedia.org/resource/Jo%C5%BEef_Stefan_Institute,,ok,,,,,2013/08/01
"Justsystem Corporation","Justsystem Corporation",,,,ok,,,,,2013/08/01
"University Kaiserslautern","Kaiserslautern University of Technology",,http://dbpedia.org/resource/Kaiserslautern_University_of_Technology,,ok,,,,,2013/08/01
KAIST,KAIST,,http://dbpedia.org/resource/KAIST,,ok,,,TRUE,,2013/09/03
"Korea Advanced Institute of Science and Technology",KAIST,,http://dbpedia.org/resource/KAIST,,ok,,,TRUE,,2013/09/04
"Kansai Univ.","Kansai University",,http://dbpedia.org/resource/Kansai_University,,ok,,,,,2013/08/01
"Kansai University","Kansai University",,http://dbpedia.org/resource/Kansai_University,,ok,,,,,2013/08/01
"Karlsruhe Institute of Technology","Karlsruhe Institute of Technology",,http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology,,ok,,,TRUE,,2013/08/01
"University Karlsruhe","Karlsruhe Institute of Technology",,http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology,,ok,,,,,2013/08/01
"University of Karlsruhe","Karlsruhe Institute of Technology",,http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology,,ok,,,,,2013/08/01
"Univ. Karlsruhe","Karlsruhe Institute of Technology",,http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology,,ok,,,,,2013/08/01
"Univ. Karlsruhe & Ontoprise GmbH","Karlsruhe Institute of Technology",,http://dbpedia.org/resource/Karlsruhe_Institute_of_Technology,,ok,,,,,2013/08/01
"Karolinska Institutet","Karolinska Institutet",,http://dbpedia.org/resource/Karolinska_Institutet,,ok,,,TRUE,,2013/08/01
"Katholieke Universiteit Leuven","Katholieke Universiteit Leuven",,http://dbpedia.org/resource/Katholieke_Universiteit_Leuven,,ok,,,,,2013/08/01
"Kazan Federal University","Kazan (Volga region) Federal University",,http://dbpedia.org/resource/Kazan_(Volga_region)_Federal_University,,ok,,,TRUE,,2013/09/09
"Kazan Federal (Volga Region) University","Kazan (Volga region) Federal University",,http://dbpedia.org/resource/Kazan_(Volga_region)_Federal_University,,ok,,,TRUE,,2013/09/09
"Kazan (Volga region) Federal University","Kazan (Volga region) Federal University",,http://dbpedia.org/resource/Kazan_(Volga_region)_Federal_University,,ok,,,TRUE,,2013/09/09
"Keck Labs","Keck Labs",,,http://www.kecklabs.com/keck.html,man,,,,,2013/09/05
"Keio University","Keio University",,http://dbpedia.org/resource/Keio_University,,ok,,,,,2013/08/01
Kestrel,Kestrel,,,,man,,,,,2013/08/01
"Knowledge Media Institute, the Open University","Kmi, The Open University",,,,man,,,TRUE,,2013/09/04
"Knowledge Media Institute","KMi, The Open University",,,,man,,,,,2013/09/04
KMI,"KMi, The Open University",,,,man-short,,,TRUE,,2013/08/01
"KMi, The Open University","KMi, The Open University",,,,man-short,,,,,2013/08/01
"Knowledge Media Institute, The Open University","KMi, The Open University",,,,man-short,,,,,2013/08/01
Know-Center,Know-Center,,,,ok,,,,,2013/08/01
"Knowledge Synergy","Knowledge Synergy",,,,ok,,,,,2013/08/01
"KSL, Stanford University","Knowledge Systems Laboratory",,http://dbpedia.org/resource/Knowledge_Systems_Laboratory,,ok,,,,,2013/08/01
"KSL/Stanford university","Knowledge Systems Laboratory",,http://dbpedia.org/resource/Knowledge_Systems_Laboratory,,ok,,,,,2013/08/01
"Knowledge Ventures","Knowledge Ventures",,,,ok,,,,,2013/08/01
KnowledgeWeb,"Knowledge Web",,,,ok,,,,,2013/08/01
"KONA LLC","KONA LLC",,,,man,,,TRUE,,2013/09/09
KISTI,"Korea Institute of Science and Technology Information",,http://dbpedia.org/resource/Korea_Institute_of_Science_&_Technology_Information_(KISTI),,ok,,,,,2013/08/01
"Korea Institute of Science and Technology Information","Korea Institute of Science and Technology Information",,http://dbpedia.org/resource/Korea_Institute_of_Science_&_Technology_Information_(KISTI),,ok,,,,,2013/09/03
KTH,KTH,,,,ok,,,,,2013/08/01
"Kwansei Gakuin University","Kwansei Gakuin University",,http://dbpedia.org/resource/Kwansei_Gakuin_University,,ok,,,,,2013/08/01
"Kyoto Univeristy","Kyoto University",,http://dbpedia.org/resource/Kyoto_University,,ok,,,,,2013/08/01
"Kyoto University","Kyoto University",,http://dbpedia.org/resource/Kyoto_University,,ok,,,,,2013/08/01
"L3S and University of Hannover","L3S Research Center",,,,ok,,,,,2013/08/01
"L3S Research Center","L3S Research Center",,,,ok,,,,,2013/08/01
"Learning Lab, Univ. Hannover","L3S Research Center",,,,ok,,,,,2013/08/01
"LIPN - UMR 7030 Universit Paris 13 - CNRS","Laboratoire d’Informatique de l’universit Paris-Nord (LIPN) - UMR 7030 Universit Paris 13 - CNRS",,http://dbpedia.org/resource/Laboratoire_d'informatique_de_Paris_Nord,http://lipn.univ-paris13.fr/,man,,,,,2013/09/03
LabSEB/CNR,LABSEB-CNR,,,,man,,,,,2013/08/01
LADSEB/CNR,LABSEB-CNR,,,,man,,,,,2013/08/01
"LADSEB-CNR, Padova",LABSEB-CNR,,,,ok,,,,,2013/08/01
"Lancaster University","Lancaster University",,http://dbpedia.org/resource/Lancaster_University,,ok,,,TRUE,,2013/08/01
"L and C","L and C",,,,man,,,,,2013/08/01
"Language and Computing","Language and Computing",,,,ok,,,,,2013/09/03
LastMileServices,LastMileServices,,,,ok,,,,,2013/08/01
"University Laval","Laval University",,http://dbpedia.org/resource/Universit%C3%A9_Laval,,ok,,,,,2013/08/01
"Lawrence Livermore National Labs","Lawrence Livermore National Laboratory",,http://dbpedia.org/resource/Lawrence_Livermore_National_Laboratory,,ok,,,,,2013/08/01
"Lehigh University","Lehigh University",,http://dbpedia.org/resource/Lehigh_University,,ok,,,,,2013/08/01
"Universitat Leipzig, IFI/AKSW, PO 100920, D-04009 Leipzig","Leipzig University",,http://dbpedia.org/resource/University_of_Leipzig,,man,,,,,2013/09/09
"University of Leipzig, AKSW Group","Leipzig University",,http://dbpedia.org/resource/University_of_Leipzig,,man,,,,,2013/09/09
"University of Leipzip","Leipzig University",,http://dbpedia.org/resource/University_of_Leipzig,,man,,,,,2013/09/09
"Universität Leipzig","Leipzig University",,http://dbpedia.org/resource/University_of_Leipzig,,ok,,,TRUE,,2013/08/01
"University Leipzig","Leipzig University",,http://dbpedia.org/resource/University_of_Leipzig,,ok,,,,,2013/08/01
"University of Leipzig","Leipzig University",,http://dbpedia.org/resource/University_of_Leipzig,,ok,,,,,2013/08/01
AKSW,"Leipzig University",,,http://aksw.org/,man-short,,,,,2013/09/03
"AKSW Group","Leipzig University",,,http://aksw.org/,man-short,,,,,2013/08/01
"LEKS/CNR Roma","LEKS/CNR Roma",,,,ok,,,,,2013/08/01
Lingomotors,Lingomotors,,,,man,,,,,2013/08/01
"Linköping University","Linköping University",,http://dbpedia.org/resource/Link%C3%B6ping_University,,ok,,,TRUE,,2013/08/01
LMS,LMS,,,,man,,,,,2013/08/01
LOA-CNR,LOA-CNR,,,,ok,,,,,2013/08/01
"Lockheed Martin","Lockheed Martin",,http://dbpedia.org/resource/Lockheed_Martin,,ok,,,TRUE,,2013/09/03
"London Borough of Camden","London Borough of Camden",,http://dbpedia.org/resource/London_Borough_of_Camden,,ok,,,,,2013/08/01
LORIA,LORIA,,,http://www.loria.fr/le-loria-1-en,man,,,,,2013/08/01
LSIS-CNRS,LSIS-CNRS,,,,ok,,,,,2013/08/01
Lucent,Lucent,,http://dbpedia.org/resource/Lucent,,ok,,,,,2013/08/01
"Lucent Technologies",Lucent,,http://dbpedia.org/resource/Lucent,,ok,,,,,2013/08/01
"University of Mynuch","Ludwig Maximilian University of Munich",,http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich,,man,,,,,2013/09/03
"Ludwig Maximilians University of Munich","Ludwig Maximilian University of Munich",,http://dbpedia.org/resource/Ludwig_Maximilian_University_of_Munich,,ok,,,TRUE,,2013/09/03
"University of Lyon 2","Lumière University Lyon 2",,http://dbpedia.org/resource/Lumi%C3%A8re_University_Lyon_2,,ok,,,,,2013/08/01
"Maastricht University","Maastricht University",,http://dbpedia.org/resource/Maastricht_University,,ok,,,TRUE,,2013/09/09
"Macgregor Group","Macgregor Group",,,,ok,,,,,2013/08/01
"Maebashi Institute of Technology","Maebashi Institute of Technology",,http://dbpedia.org/resource/Maebashi_Institute_of_Technology,,ok,,,,,2013/08/01
"University “Magna Graecia” of Catanzaro","Magna Græcia University",,http://dbpedia.org/resource/Magna_Gr%C3%A6cia_University,,ok,,,,,2013/08/01
"Universita Politecnica delle Marche","Marche Polytechnic University",,http://dbpedia.org/resource/Marche_Polytechnic_University,,ok,,,TRUE,,2013/08/01
"Università Politecnica delle Marche","Marche Polytechnic University",,http://dbpedia.org/resource/Marche_Polytechnic_University,,ok,,,TRUE,,2013/08/01
"Marine Biological Laboratory","Marine Biological Laboratory",,http://dbpedia.org/resource/Marine_Biological_Laboratory,,ok,,,,,2013/09/03
"Massachusetts General Hospital","Massachusetts General Hospital",,http://dbpedia.org/resource/Massachusetts_General_Hospital,,man,,,TRUE,,2013/09/03
"Massachusetts General Hospital Biomedical Informatics Core","Massachusetts General Hospital",,http://dbpedia.org/resource/Massachusetts_General_Hospital,,ok,,,TRUE,,2013/08/01
"Massachusetts Institute of Technology","Massachusetts Institute of Technology",,http://dbpedia.org/resource/Massachusetts_Institute_of_Technology,,ok,,,,,2013/08/01
"Massachussets Institute of Technology","Massachusetts Institute of Technology",,http://dbpedia.org/resource/Massachusetts_Institute_of_Technology,,ok,,,,,2013/08/01
MIT,"Massachusetts Institute of Technology",,http://dbpedia.org/resource/Massachusetts_Institute_of_Technology,,ok,,,,,2013/08/01
"Max Planck Institute for Informatics","Max Planck Institute for Computer Science",,http://dbpedia.org/resource/Max_Planck_Institute_for_Computer_Science,,ok,,,TRUE,,2013/08/01
