altLabel,title,subtitle,uri,source,status,redirects,disambiguates,matched_entity_type,row_type,modified
AT&T,AT&T,,http://dbpedia.org/resource/AT&T,,ok,,,,,2013/08/01
ABS,"Australian Bureau of Statistics",,http://dbpedia.org/resource/Australian_Bureau_of_Statistics,,ok,,,,,2013/08/01
"Australian National University","Australian National University",,http://dbpedia.org/resource/Australian_National_University,,k,,,TRUE,,2013/09/04
ANU,"Australian National University",,http://dbpedia.org/resource/Australian_National_University,,ok,,,TRUE,,2013/09/04
"School of Computer Science, Australian National University","Australian National University",,http://dbpedia.org/resource/Australian_National_University,,ok,,,TRUE,,2013/09/04
"Australian Proteome Analysis Facility","Australian Proteome Analysis Facility",,,,man,,,TRUE,,2013/09/04
"Austrian Institute of Technology","Austrian Institute of Technology",,http://dbpedia.org/resource/Austrian_Institute_of_Technology,,ok,,,,,2013/09/03
"Universidad Autonoma de Madrid","Autonomous University of Madrid",,http://dbpedia.org/resource/Autonomous_University_of_Madrid,,ok,,,TRUE,,2013/09/03
"Universidad Autónoma de Madrid","Autonomous University of Madrid",,http://dbpedia.org/resource/Autonomous_University_of_Madrid,,ok,,,TRUE,,2013/08/01
BBC,BBC,,http://dbpedia.org/resource/BBC,,ok,,,TRUE,,2013/08/01
"British Broadcasting Corporation",BBC,,http://dbpedia.org/resource/BBC,,ok,,,TRUE,,2013/08/01
"Raytheon BBN Technologies","BBN Technologies",,http://dbpedia.org/resource/BBN_Technologies,,ok,,,TRUE,,2013/08/01
"Bolt, Beranek and Newman","BBN Technologies",,http://dbpedia.org/resource/BBN_Technologies,,ok,,,,,2013/08/01
BBN,"BBN Technologies",,http://dbpedia.org/resource/BBN_Technologies,,ok-disambiguates,,http://dbpedia.org/resource/Big_Bang_nucleosynthesis,,,2013/08/01
BEA,"BEA Systems, Inc.",,http://dbpedia.org/resource/BEA_Systems,,ok,,,,,2013/08/01
Behaviorengine,Behaviorengine,,,,man,,,,,2013/08/01
"Beijing Normal Univeristy","Beijing Normal University",,http://dbpedia.org/resource/Beijing_Normal_University,,ok,,,TRUE,,2013/08/01
"Beijing Normal University","Beijing Normal University",,http://dbpedia.org/resource/Beijing_Normal_University,,ok,,,TRUE,,2013/09/04
"Bell Laboratories","Bell Labs",,http://dbpedia.org/resource/Bell_Labs,,ok,,,,,2013/08/01
"Bell Laboratories","Bell Labs",,http://dbpedia.org/resource/Bell_Labs,,ok,,,,,2013/08/01
"Bell Laboratories","Bell Labs",,http://dbpedia.org/resource/Bell_Labs,,ok,,,,,2013/08/01
"Bell Labs","Bell Labs",,http://dbpedia.org/resource/Bell_Labs,,ok,,,,,2013/08/01
"Bell Labs Research","Bell Labs",,http://dbpedia.org/resource/Bell_Labs,,ok,,,,,2013/09/03
"Berlin Institute of Technology","Berlin Institute of Technology",,http://dbpedia.org/resource/Berlin_Institute_of_Technology,,ok,,,TRUE,,2013/09/03
"Best Buy","Best Buy",,http://dbpedia.org/resource/Best_Buy,,ok,,,TRUE,,2013/09/03
"Bielefeld University","Bielefeld University",,http://dbpedia.org/resource/Bielefeld_University,,ok,,,TRUE,,2013/09/03
"University of Bielefeld","Bielefeld University",,http://dbpedia.org/resource/Bielefeld_University,,ok,,,TRUE,,2013/08/01
